"ITTER107","Territorio","TIPO_DATO7","Indicatore","CORREZ","Correzione","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-04","Apr-2009",96.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-05","Mag-2009",107.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-06","Giu-2009",103.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-07","Lug-2009",114.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-08","Ago-2009",53.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-09","Set-2009",110.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-10","Ott-2009",115.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-11","Nov-2009",110.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2009-12","Dic-2009",87.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-01","Gen-2010",96.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-02","Feb-2010",105.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-03","Mar-2010",115.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-04","Apr-2010",105.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-05","Mag-2010",117,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-06","Giu-2010",116.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-07","Lug-2010",124.5,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-08","Ago-2010",60.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-09","Set-2010",118.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-10","Ott-2010",121.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-11","Nov-2010",116.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2010-12","Dic-2010",93.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-01","Gen-2011",98.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-02","Feb-2011",112.1,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-03","Mar-2011",122.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-04","Apr-2011",112.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-05","Mag-2011",121.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-06","Giu-2011",116.7,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-07","Lug-2011",124.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-08","Ago-2011",65.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-09","Set-2011",115.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-10","Ott-2011",117.2,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-11","Nov-2011",112.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2011-12","Dic-2011",92.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-01","Gen-2012",93.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-02","Feb-2012",102.8,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-03","Mar-2012",114.4,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-04","Apr-2012",101.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-05","Mag-2012",114.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-06","Giu-2012",107.6,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-07","Lug-2012",116.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-08","Ago-2012",61.3,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-09","Set-2012",110.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-10","Ott-2012",110.9,,
"IT","Italia","IND_PROD2","indice della produzione industriale - base 2015=100","W","dati corretti per gli effetti di calendario","C","attività manifatturiere","2012-11","Nov-2012",104.3,,
